generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
74,1,0,53560,53560,86986,424.2384235309197,402.49083899855685,424.2384235309197,115.9913789899922,67.63726144528673,308.2470445409275,13,rolling,losing_streak_fitness,2_days,rep_1
75,1,0,53560,53560,86986,424.2384235309197,392.99454857804494,424.2384235309197,95.88367952889584,88.67498359227052,328.35474400202384,14,rolling,losing_streak_fitness,2_days,rep_1
76,1,0,53560,53560,86986,424.2384235309197,406.4609077659216,424.2384235309197,95.88367952889584,58.96627754992601,328.35474400202384,15,rolling,losing_streak_fitness,2_days,rep_1
77,1,0,53560,53560,86986,424.2384235309197,408.8301822723801,424.2384235309197,95.88367952889584,60.89426390803514,328.35474400202384,16,rolling,losing_streak_fitness,2_days,rep_1
78,1,0,53560,53560,86986,424.2384235309197,395.6053764049161,424.2384235309197,95.88367952889584,75.23187301811477,328.35474400202384,17,rolling,losing_streak_fitness,2_days,rep_1
79,1,0,53560,53560,86986,424.2384235309197,405.3471477298325,424.2384235309197,95.88367952889584,65.47684184265769,328.35474400202384,18,rolling,losing_streak_fitness,2_days,rep_1
80,1,0,53560,53560,86986,424.2384235309197,401.6932339988163,424.2384235309197,95.88367952889584,66.06078445730446,328.35474400202384,19,rolling,losing_streak_fitness,2_days,rep_1
81,1,0,53560,53560,86986,424.2384235309197,402.95498589344976,424.2384235309197,95.88367952889584,66.40936381151649,328.35474400202384,20,rolling,losing_streak_fitness,2_days,rep_1
82,1,0,53560,53560,86986,424.2384235309197,387.6695431713937,424.2384235309197,115.9913789899922,84.76009934927998,308.2470445409275,21,rolling,losing_streak_fitness,2_days,rep_1
83,1,0,53560,53560,86986,424.2384235309197,398.28861865270216,424.2384235309197,95.88367952889584,81.99972192440062,328.35474400202384,22,rolling,losing_streak_fitness,2_days,rep_1
84,1,0,53560,53560,86986,424.2384235309197,410.7025483507744,424.2384235309197,139.90353819685905,54.10889859581642,284.3348853340607,23,rolling,losing_streak_fitness,2_days,rep_1
85,1,0,53560,53560,86986,424.2384235309197,406.7949109706382,424.2384235309197,139.90353819685905,55.02586380500988,284.3348853340607,24,rolling,losing_streak_fitness,2_days,rep_1
86,1,0,53560,53560,86986,424.2384235309197,400.6474015993232,424.2384235309197,139.90353819685905,66.57371544075339,284.3348853340607,25,rolling,losing_streak_fitness,2_days,rep_1
87,1,0,53560,53560,86986,424.2384235309197,400.2558589190882,424.2384235309197,95.88367952889584,73.21167472697456,328.35474400202384,26,rolling,losing_streak_fitness,2_days,rep_1
88,1,0,53560,53560,86986,424.2384235309197,396.5388522294262,424.2384235309197,139.90353819685905,74.06431885916584,284.3348853340607,27,rolling,losing_streak_fitness,2_days,rep_1
89,1,0,53560,53560,86986,424.2384235309197,399.3988483648543,424.2384235309197,115.9913789899922,68.26329696894153,308.2470445409275,28,rolling,losing_streak_fitness,2_days,rep_1
90,1,0,53560,53560,86986,424.2384235309197,386.3245580587701,424.2384235309197,95.88367952889584,90.07775900503724,328.35474400202384,29,rolling,losing_streak_fitness,2_days,rep_1
91,1,0,53560,53560,86986,424.2384235309197,407.3143862257402,424.2384235309197,95.88367952889584,56.72012794235908,328.35474400202384,30,rolling,losing_streak_fitness,2_days,rep_1
